AccountId,Identity,free,reserved,miscFrozen
2GJ97RujnPwCPdKTG72HzLFYbdCNapjDYrSQo71Kp2PoyrXE,0x84847dd20376a88ead831c6af22cb9d0ed40aa091dc7378c8e1d580d1e42e40a,228000000,0,0
2EoXArfA9kMK1j4RLtUXSbVuDuwujtd5RFLLcfkySvZtQcX7,0x84847dd20376a88ead831c6af22cb9d0ed40aa091dc7378c8e1d580d1e42e40a,97611745458,0,50841304741
2Hr7HkLDH78A3sQXum1JRndc973imh829gtLUPTupzcaFQNb,0x248885300e4054d3676476014cf8f812b193a65c6dbaf699ce976b409c28fbaf,1000000000,0,0
2HCwQGrkt4zWQL8B7Qdz7XHRaQ1V4we3SdWskHGDgYQB1ijG,0x248885300e4054d3676476014cf8f812b193a65c6dbaf699ce976b409c28fbaf,97256129731,0,51257340624
2EtdZY6DAGVcLCojgy9LxuxFMPeHkPrFGsat1vH5TQzFbZg2,0x826dfd881212b370e83318f7b550c385f09b5f20a8b6f6d5690fb0d91a941982,96996663753,0,31000000000
2FGb7mebAfzjN8nwe95JpyjWc2fwZiYmF4RjbMMDYG7KdQid,0xe40a79f805f979b1dbcd97f8032df5e54ebeef032554c935987ad234d43d0a36,100000000000,0,0
2E6CZidLRHfX3ctQ68SBULcdxsYCQFAVnR4TwcgNrP1LNmVE,0x53a1b32b783e63b79fe7eb14a1229874a0c1fdaa4a59d11fcb1ce494be84a99b,10888000000,0,0
2HDAchKMDShooGU94VFWFfz4XF5vZ77vtn4tVANR64ftah5b,0x53a1b32b783e63b79fe7eb14a1229874a0c1fdaa4a59d11fcb1ce494be84a99b,87019081553,0,38000000000
2HAAwi8AegtZZ6RFTaCUTyYigwSBXvuubHrWHNAadTPGTYAZ,0x350ab60d78fcb267acf6b3a7986be52cb1ce09af1ba41833c0a0d9f7d189b254,100688986768,0,50689339130
2HMNF5w5e24PtereZLS2tAiPYNjhaUpEx4dBv4fQQLHHCgXh,0x690876701b34e2446c5bc16eff1eab0508abd246e768511f8b3861cd0b0c4393,7902769,0,0
2Ekyob4VpGmVDxPR8QA5jozJe81kjfPTjygGRxw8c4AdWc9s,0x690876701b34e2446c5bc16eff1eab0508abd246e768511f8b3861cd0b0c4393,97626800525,0,49137663819
2GXwYyX743h6zq7xc1TfJDpWGV8QtyfJ4eL7LHVohpEvfJUh,0x1f6bce5acd655d6cfdfa3cf93cdb07d8a9d43052a3dfe77a4a69c89fb8e8f9da,1000000000,0,0
2FYA4KeHymPqyZ9Hh5ewaPikmbGxBnusUhQRHMhq8zRAFDMC,0x1f6bce5acd655d6cfdfa3cf93cdb07d8a9d43052a3dfe77a4a69c89fb8e8f9da,96487577817,0,50488806616
2DzEWU633twxXCoxrTfn9BUaoNqC9Eb4NZ1tRRmNcy6jStHc,0x374c0c1feca21a5677a0746bd3476baa2e7b62560d820f95c10a072b4d71f92f,1000000000,0,0
2Dj14Hypo58ikYoZXV7Eugt2ojkqUwCwQ3hGXXKTzMTG8rKN,0x374c0c1feca21a5677a0746bd3476baa2e7b62560d820f95c10a072b4d71f92f,97583049017,0,51584390264
2E8w61iuqqKv7r1SuFd6E5bxtYTqXTNKnkJfd6pWe1PLLAY4,0x5cf2bfc248ffbbcc4336b9d839f26ea5161eaab5aa444fce1c3ccdbc3877fdd7,20000000000,0,0
2D5rra64Q3J1rKAETRTX2X1LuS5LikQUtcRZcmN3yjjx4pTj,0x5cf2bfc248ffbbcc4336b9d839f26ea5161eaab5aa444fce1c3ccdbc3877fdd7,77965904882,0,30966848269
2FGRVtn48ENVo3L9fUhk2WKaBfpKnKqyirQKqiFrhG44vjt1,0x43c1ccd08a00e43ddda244e3bc8612cead7d4fce54463bd503bbcefec1d0805f,50000000,0,0
2GG9CSk3E5HKJqPSQ8b9m4zo57tZm95hYRptap3HJDn1QK1b,0x43c1ccd08a00e43ddda244e3bc8612cead7d4fce54463bd503bbcefec1d0805f,93984767479,0,1039545004
2CgpNPTXX9QwJiZjCKAPJsmou6UZmcD1kiaAaG2ni4jEF6kd,0x45b789d4313e91ac9530f386d1d8d7f75787b08aaa432fc068b9bfe15c89f4d8,100000000000,0,0
2CbP4ocEqqwUya57e5aYiHXcKhncxzwS5Jopd46cUoEAzu5B,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,6155801067,0,5156108308
2Cbfo5KpJTACHBM9XQeNmnSmvw56qLRFYFcCCGuiwhKbz5Vv,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,1014913300,0,515123010
2CdZcvGQbGLyCZNekE4gb49xb5g3QcazXNSuDh6WwWK4gNJM,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,201250785,0,101464001
2Ce88QHQF9JBDxVou73VUrxxpcKZyB8jevLZDR5rvfHT8jVH,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,3052854301,0,2553161442
2CmNyZQcKiXzNU1YceqbX5w4cRjP35MUcsoJMo9CXnyrXb1C,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,1008768747,0,508978457
2D6V9N2jKVMpjaRhLXYomhjsTGRouezz5xw8yWgb7CvDmVZT,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,201372503,0,100000000
2DBg1gqUpzAsyoX6kcb599azJ7RHyd5DnCEqMCy1YqC54vWf,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,2015867325,0,1016077035
2DKEYPsBuGQbndEssu5BqU4Er8NVYaqNwpPUxoxoBT6D17bP,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,1014931558,0,515141268
2DN2Z1RpTcZWF9WQTv7BbraBMNm8PSnFDYe7Q5sjD7KVrXcF,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,201349061,0,101558771
2DQZG8t2apvgAyAJbypDT3G3gDXyoxELjBHJb7Mi7omf3N9u,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,1017082799,0,517292509
2DbZ6wVyphreCeDRVaajP32hFrmfNuUGktXiQHWdZW3CTCKN,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,1009195179,0,509408395
2DggLn9YpEiKfeoJHXfeC6FNLkSKga1kgvYtYNkPRd16yUJb,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,203157518,0,101728539
2DiqcLqGYe9PjQwZmRFKaVbDj7CvQ7nfwfxwX7K7AJqffAR1,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,2021041252,0,1021250962
2E3H1HBq6maaawGf9SgT7UdCptBXep9aMQLLuenejFQ4ixa5,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,5106770032,0,2554361000
2EFqXevTCT478yKBfSRpmxayHugR5h3jKFHXdsWhs8G6JJmz,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,199885718,0,100000000
2EPu9BevN9qwMoMGC1GjVoodM4BJgr9sEYiLEC3cC9LVopMa,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,201188185,0,101397895
2EQrhod2L4i3t8feD7AmhA1fqbw9tU7jp1A4mK83gEK2GAga,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,402983834,0,203193544
2ESPnnVVEqbarXCi9zLDfVJqv4gEh2TVwS2Lvset3RrWAnD8,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,202383134,0,100000000
2ETUakfEKhvnEd14F1yrEgFjBzQp1PgzwkpHJYVwykPfXK3V,0x1fc4cf676fcdc9ec6af9922b0dd88e29fc44462e8c0e651fa7c207bee3dff71d,201441098,0,101650808
